station_id,station_name
1,Largo da Batata
2,SESC Pinheiros
3,CPTM Pinheiros
4,Rua Diogo Moreira
5,Chicão Vive
6,Rua Manduri
7,Praça Joaquim Roberto
9,Rua Grécia
10,Rua Campo Verde
11,Praça Faria Lima
12,Largo da Batata II
13,Esporte Clube Pinheiros Funcionários
14,Museu da Casa Brasileira
15,Rua Prof. Artur Ramos
16,Esporte Clube Pinheiros Boliche
17,Rua José Gonçalves de Oliveira
18,Itaú Faria Lima
19,Av. Dr. Cardoso de Melo
20,CPTM Cidade Jardim
21,Parque do Povo portão 1
22,Rua Leopoldo Couto
23,CPTM Vila Olímpia
24,Rua Funchal
25,Rua Helena
26,Praça Pierre Germayel
27,Rua Min. Jesuíno Cardoso
28,Rua Comendador Miguel Calfat
29,Rua João Franco
30,Bandeira Paulista
31,Rua Jacques Félix
32,Ibirapuera Portão 07
33,Ibirapuera Portão 08
34,Parque da Juventude
35,Rua Benedito Lapin
36,E.E. Aristides de Castro
37,Edifício Infinity
38,Viradouro
39,Rua Jesuino Arruda
40,Brasília
41,CPTM Santo Amaro
42,Hotel Unique
43,Herois da FEB
44,Ibirapuera Portão 09
45,Marechal Bitencourt
46,Pç Tenente Coronel Heleuses Nogueira
47,Suzano
48,Itacema
49,Tapinás
50,Rua Prof. Carlos de Carvalho
51,Braz Leme
53,Google São Paulo
54,Col�gio Madre Alix
55,Jacupiranga
56,Henrique Schaumann
57,Praça Caetano Fracaroli
58,R. Lisboa
59,EBAC
60,Euclides da Silveira
61,Ponte da Casa Verde
62,Pça. Pe. Luís Alves de S. Castro
63,Club Athletico Paulistano
64,Av Marquês de São Vicente
65,Terminal Barra Funda
66,Metrô Barra Funda
67,Matarazzo
68,Praça Nicolau Scarpa
69,Oscar Freire
70,Alameda Casa Branca
71,Pamplona
72,Queluz
73,Ginásio Ibirapuera
74,Círculo Militar
75,Viaduto Tutóia
76,8° Batalhão
77,Alameda J. Eugênio de Lima
78,Alameda Franca
79,Pça David Raw
80,Praça Alexandre de Gusmão
81,Sesc Pompéia
82,Palestra Itália
83,Augusta
84,Alameda Itú 1219
85,Praça do Ciclista
86,Shopping Center 3
87,Parque Prefeito Mário Covas
88,João Ramalho
89,Caiubí
90,Alameda Campinas
91,Paulista 778
92,Metrô Brigadeiro
93,R. Carlos Sampaio
94,Alameda Jaú
95,R. Manoel da Nóbrega
96,Tutóia
97,Praça Irmãos Karmam
98,Sampaio Viana
99,Parque da Água Branca
100,Itaú Cultural
101,Praça Gen. Gentil Falcão
102,Rua James Watt
103,Rua Hans Oersted
105,Praça João Duran Alonso
106,Rua Flórida
107,Rua Indiana
108,Rua Surubim
109,Praça Oswaldo Varella
110,Flórida 1670
111,Rua Edward Weston
112,R. Lee de Forest
113,Rua Andrade Pertence
114,Rua Alvorada
115,Praça Procópio Ferreira
116,Praça Dr. Francisco Patti
117,Cubo Itaú
118,Rua Júlio Diniz
119,Rua Quatá
120,Rua Gomes de Carvalho
121,Insper
122,Baluarte
123,R. Santa Justina
124,Praça PereIra Coutinho
125,Natividade
126,Graúna
127,Jacutinga
128,R. Sampaio Góis
129,Sabiá
130,Afonso Braz
131,Ibirapuera Portão 06
132,Ibirapuera Portão 05
133,Largo Mestre de Aviz
134,Parque Ibirapuera
135,Ibirapuera Portão 10
137,Rua do Rocio
138,Chilon
140,JK Iguatemi
141,Praça Luis Carlos Paraná
142,Minhocão
143,Rua João Cachoeira
144,Rua Iguatemi
145,CPTM Berrini
146,Ibirapuera portão 03
147,Rua Min Jesuíno Cardoso II
148,R. Maria Figueiredo
149,Rua Afonso de Freitas
150,Metrô Paraíso
151,Centro Cultural SP
152,Rua Santa Madalena
153,Monsenhor Passaláqua
154,R. Condessa de São Joaquim
155,Rua dos Belgas
156,Praça Dom Orione
157,Theatro Ribalta
158,Alameda Rio Claro
159,Metrô São Joaquim
162,Herculano de Freitas
163,Paim
